Above	Mub
Abyss	Pafund
Acid	Tharb
Acid	Tharm
Across (athwart)	Tarthur
Across (over)	Ti
Administration	Mubarshtaum
Adolescent	Dajal
Adult	Moshar
Advisor	Kishaulus
Adze	Skopar
Afar	Larg
After	Mabas
Aggressive	Sulmus
Agony	Dhaub
Agriculture	Bujukasi
Air	Ia
Alarm	Kishtraum
All	Gith
All	Uk
Alliance	Bashkaum
Allor	Laudh
Ally	Bosnauk
Almighty	Tanfuksham
Alone	Nalt
Also	Do
Altar	Thoror
Ambush	Prauta
Amer	Kolaubar
Among	Nadar
Ancestor	Stargush
Ancient	Motsham
And	Agh
Anger	Zemaraum
Animal	Dyr
Arch	Kular
Archer	Kalus
Archery	Kalaum
Arena	Lam
Arm (of body)	Krah
Arm (weapon)	Brulk
Armor	Armor
Armor	Kalkan
Army	Ushtar
Army	Ushtarak
Arrow	Shaugit
Artillery	Topa
Artisan	Zogtar
Ash	Hi
Assassin	Vras
At	Na
Attack	Inras
Attack	Sulmog
Autumn	Visht
Avalanche	Rung(al)
Awe	Poni
Axe	Sapat
Baby	Foshnu
Back	Kurrauz
Bad Habit	Ovani
Bag	Thos
Bake	Pik
Bald	Paflok
Band, leather	Rup
Bank, river	Ana
Bar	Loz
Bar	Shul
Barb	Mosh
Bark, tree	Lavozagh
Barley	Olb
Barracks	Kazorm
Barrel	Bukol
Barrow	Kaup-du
Barrow	Suk
Basin	Logon
Basket	Kosh
Basket	Skort
Bastinado	Raf
Battering-ram	Kridash
Battle	Lutaum
Battlefield	Fushjalut
Be-ahead	Pros kokan
Beacon	Paustar
Beak	Skop
Beak	Skup
Beaker	Kolk
Beam, timber	Tra
Bear	Arau
Beard	Mikar
Beast	Staz
Beg	Lup
Behind	Prap
Bell	Kumbon
Bellows	Kakok
Below	Nen
Belt	Broz
Bench	Tog
Bent	Parkulun
Berry	Kokar
Beside	Pran
Besiege	Rothos
Beyond	Ti
Big	Madh
Billhook	Kiz
Bind	Doturog
Bind	Krimp
Birch	Blotaz
Bird	Shapend
Bird	Zog
Bite	Kafsog
Black	Zau
Black	Zi
Blacken	Nixi
Blade	Pros
Bleak	Fatoft
Blind	Vorbat
Blizzard	Pogalm
Blood	Blog
Blood	Gijak
Bloodshed	Gijakudob
Bloodstained	Pargijakun
Bloodthirsty	Gijakpis
Blow	Frib
Blue	Kartart
Boar	Dorr
Boar	Goltur
Boat	Lundar
Body (mass)	Tuf
Body (mass)	Turm
Body (person)	Trup
Bodyguard	Rog-votak
Bog	Mosal
Boil	Zau
Bolt, door	LLoz
Bone	Asht
Boot	Kapuk
Border	Kufi
Boulder	Curr
Bow	Bogi
Bow	Lak
Brain	Tru
Branch	Dob
Brawl	Bartas
Bread	Buk
Break	Molva
Break	Thu
Breed	Rraus
Bress	Praunk
Brew	Zim
Brick, mud	Korpaus
Bridge	Ur
Bright	Shendrautsham
Brilliant	Skalkisham
Bring	Thrak
Broad	Gogan
Broadsword	Hanksar
Bronze	Zoshk
Broth	Lang-Maush
Brown	Zoshkat
Brute	Shataz
Build	Nudertog
Bulge	Bungo
Bull	Dom
Bull	Mazat
Burial-Ground	Vorroz
Burn	Dig
Burrow	Zagavarr
Bury	Jargza
Bury	Vorrog
Bush	Druth
Butter	Talun
Buttock	Hom
By	Afar
Cage	Kafaz
Call (verb)	Bugd
Camp	Fushaum
Candle	Kaur
Cap	Kasul
Cape	Bruk
Captain	Kritar
Carrion	Marsh
Carrion crow	Starkok
Cart	Korn
Carve	Gaduhend
Caste	Faus
Castle	Kala
Castration	Trod
Cauldron	Kazan
Cavalry	Kalors
Cave	Shapol
Cave	Shatroful
Cell	Kolauz
Center	Mos
Cesspool	Bagronk
Chain	Varg
Chalk	Shakumbas
Chamber	Od
Channel, noun	Vi
Channel, noun	Lug
Channel, verb	Vajos
Charm	Fal
Chest	Kista
Chief	Kri-krisur
Chief	Krual
Chimney	Oxhak
Circle	Roth
Citadel	Kutotaz
City	Goi
City	Kitot
Clan	Bajrak
Clan	Fos
Clasp, noun	Mubarthok
Claw	Bukra
Claw	Kathotar
Clay	Bot
Cleave	Kag
Cleft	Kam
Cleft	Kar
Cliff	Shakamb
Cloak	Gun
Cloak	Potak
Close	Mubull
Cloth	Palhur
Cloud	Ro
Clouded/cloudy	Varanat
Club	Kopak
Coal	Kumur
Cock	Gajol
Cold	Fatoft
Color	Nagir
Command, noun	Urdan
Command, verb	Urdanog
Common	Pa-shi
Conclave	Kashaul
Condition (suffix -ness)	Um
Conquer	Sundog
Conquest	Sundaum
Contest	Mund
Cook	Pik
Copper	Tem
Corner	Kand
Country	De
Country	Krahaun
Country	Tok
Country	Trov
Court	Oborr
Court, law	Gikator
Coward	Fraukanak
Coward	Ragur
Coward	Skraefa
Coward	Tutas
Coward	Zemarpak
Crack	Plas
Craft	Shakathsi
Craft	Zog
Craftsman	Zogtar
Crag	Thop
Craggy	Thopausan
Crawl	Ok
Crawl	Zovarr
Crazy	Galin
Creep	Skrigz
Crevasse	Plaskom
Cripple	Ulog
Crossroad	Udakruk
Crow	Gal
Crow	Sorr
Crucify	Kruksog
Cruel	Mauzur
Crush	Marzgi
Crush	Shatup
Cult	Bos
Cult	Fe
Cup	Zan
Cure	Mikog
Curse	Bolvag
Cut	Plag
Cut	Pros
Dagger	Kam
Dagger	Kurtil
Dagger	Thauk
Dark	Burz
Dark	Mubullat
Dark	Orrat
Darkness	Burzum
Dart	Bauz
Dart	Shatauz
Dash	Flak
Dawn	Agon
Dawn	Daga
Day	Dautas
Daylight	Draut
Dead	Vadokan
Deadly	Vadokiprus
Deaf	Shadur
Death	Gurz
Death	Vadok
Decay	Prasog
Deep	Tholl
Deer	Nadro
Deer, small	Kaprul
Defeat	Ugl
Defecate	Dahautom
Defecation	Dahaut
Defense	Muprogit
Delicacy	Moz
Delve	Garmog
Demolish	Rifa
Demon	Dagul
Demon	Drok
Demon	Pauzul
Demoniac	Dagalur
Den	Shatrofuk
Den	Shatroful
Dependent	Haz
Deputy	Zavandas
Descent	Zabrat
Destroy	Egur
Destroy	Zaduk
Die	Mat
Dig	Garmog
Dig	Grafa
Dike (ditch)	Hondok
Dike (ditch)	Vi
Dike (ridge)	Lod
Dim	Mugat
Din	Zurm
Dire	Laug
Dire	Ugurz
Dirt	Flauk
Dirty	Onreinn
Disaster	Bolb
Disaster	Dam
Disease	Langat
Disease	Samund
Disembowel	Dakog
Disguise (noun)	Shatragtaum
Disguise (verb)	Shatratog
Dish	Logon
Dish	Pajat
Dismember	Koptog
Distant	Largat
Distil	Shakulog
Dog	Hundur
Dog	Kon
Dome	Kub
Doom	Duump
Doom	Fund
Door	Dar
Doorway	Dolap
Down	Poshat
Downhill	Taposhat
Dragon	Kulkodar
Drake	Rosak
Draught	Galtaum
Dread	Dru
Dreadful	Timorsham
Drear	Murg
Drink (noun)	Pi
Drink (verb)	Pau
Drive	Magas
Drive away	Dabog
Drown	Mabus
Drug	Shushatus
Drum	Daul
Drum	Lodar
Dry	Thag
Dull	Mubulat
Dumb	Pa-gog
Dung	Bagal
Dungeon	Bauruk
Dusk	Mug
Dust	Pluhun
Dust	Ryk
Dwarf	Shakutarbik
Dwarf	Vok
Dwelling	Banam
Dwelling	Banos
Eagle	Shakab
Eagle	Shakapon
Ear	Vosh
Earth (soil)	Tok
Earth (world)	Dha
East	Lind
Eat	Ha
Edge	Ana
Edge	Skag
Edible	Nagransham
Egg	Vo
Egg	Voz
Elder	Ma-plak
Elf	Golog (Noldo)
Elf	Karanzol
Elf	Paken
Elf	Zan
Elite	Ta-parat
Emissary	Dargum
Empire	Porandor
Empty	Zabraz
Enchant	Namat
Enclosure	Thark
Enclosure	Thur
End	Fund
End	Mubaram
Enemy	Armauk
Engineer	Zongot
Enter	Hu-na
Entry	Ta-hum
Ever	Parhor
Evil	Illska
Evil	Laug(shat)
Evil spirit	Ari
Eviscerate	Nixir
Eviscerate	Zorrat
Execute	Vadoksog
Execution	Vadoksam
Exile	Margim
Expedition	Fushat
Explode	Palkas
Explosion	Karkat
Explosion	Plasi
Explosive	Karkitas
Explosive	Plasas
Eye	Auga
Eye Su
Fabric	Ko
Fabric	Palhur
Falcon	Sakaftor
Fall	Bi
Fanatic	Fotak
Fang	Dahamab
Fang	Kalsak
Fang	Kasak
Fang	Kragor
Far	Largat
Farm	Kuflag
Farthest	Ma-larg
Fast	Shapit
Fat (adjective)	Undur
Fat (noun)	Dajambat
Fear (noun)	Dru
Fear (verb)	Timer
Feast	Gost
Feed	Ushk
Fetter	Haft
Fetter	Prang
Few	Pak
Few	Shum
Field	Fuadh
Fill	Mubush
Filth	Glob
Filth	Palay
Find	Gimb
Finger	Gaushat
Fir	Drodh
Fire	Bal
Fire	Ghash
Fire	Zajar
Fish	Poshak
Five	Krak
Flagon	Bok
Flame	Flak
Flame	Ghash
Flay	Rip
Flea	Ploshat
Flesh	Maushat
Flint	Stral
Flog	Fashaukalog
Flood	Robosh
Floor	Trul
Flower	Lul
Fog	Migul
Food	Kjani
Foot	Kamab
Force	Pardahun
Ford	Kuga
Ford	Va
Forest	Pulgoruz
Forest	Pulmotsham
Forge	Fark
Fork	Baug
Fornicate	Kurvanog
Forward	Parpara
Foul	Flagit
Fowl	Shapend
Fox	Dolpan
Freeze	Nagri
Frenzy	Karmordi
Front	Bal
Frost	Fatofsan
Fruit	Pam
Fungus	Kapurd
Fur	Kamog
Fury	Tarbam
Gale	Satug
Gallows	Karmagnol
Gamble	Los
Gamble	Losug
Game	Losog
Garrison	Kutoz
Gash	Gash
Gate	Doraz
Ghastly	Lomorasham
Ghost	Angath
Ghost	Draugur
Ghost	Gogol
Ghost	Gul
Ghost	Lub
Ghost	Lugat
Ghost	Mangath
Ghoul	Haldup
Ghoul	Zuzar
Giant	Vagun
Glacier	Akul
Glare	Akarohum
